iter	Logloss
0	0.6885830426
1	0.6828671802
2	0.6795153771
3	0.6743943805
4	0.6700733371
5	0.6660093879
6	0.6623868838
7	0.6594782437
8	0.6557369443
9	0.6530196568
10	0.6486032477
11	0.6455348385
12	0.6425060131
13	0.639739201
14	0.6361047975
15	0.6336637396
16	0.6306079301
17	0.62624999
18	0.6229064081
19	0.6172811016
20	0.6133274209
21	0.6102712014
22	0.6072034121
23	0.6039339193
24	0.6020622699
25	0.5992688016
26	0.59609663
27	0.593599716
28	0.5893559622
29	0.5863870204
30	0.5837477256
31	0.5817252608
32	0.5798991799
33	0.5770841614
34	0.5756300849
35	0.5744498307
36	0.5716914331
37	0.568837523
38	0.5679464666
39	0.5655073477
40	0.5628887449
41	0.5617462363
42	0.5591886023
43	0.5579595478
44	0.5559339743
45	0.5532795843
46	0.5509935448
47	0.5492082836
48	0.5472216179
49	0.5458452403
50	0.5427430241
51	0.5405018522
52	0.5377343329
53	0.5357687584
54	0.5342301221
55	0.5319156481
56	0.5298502326
57	0.5288588981
58	0.5275952247
59	0.5263958252
60	0.5253018167
61	0.5238647739
62	0.5227616741
63	0.5210138527
64	0.5188350977
65	0.5166212447
66	0.5152630633
67	0.5133843042
68	0.5115641276
69	0.5102107173
70	0.50799818
71	0.5069618932
72	0.5049470285
73	0.50408785
74	0.5009758496
75	0.4994235341
76	0.4972930371
77	0.495999888
78	0.494571353
79	0.4925562062
80	0.4911912437
81	0.4894014085
82	0.4871360854
83	0.4861439794
84	0.4853806928
85	0.4828205474
86	0.4814818845
87	0.4786106722
88	0.4770085649
89	0.4760204179
90	0.4739249236
91	0.4725680059
92	0.471022246
93	0.4692884547
94	0.467725602
95	0.4667557143
96	0.4650008199
97	0.4630151509
98	0.4603560455
99	0.4579746235
