iter	Passed	Remaining
0	1	101
1	1	66
2	1	52
3	2	51
4	2	49
5	2	45
6	3	42
7	3	40
8	3	39
9	4	38
10	4	37
11	4	36
12	5	35
13	5	34
14	5	33
15	6	32
16	6	31
17	6	31
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	25
28	10	25
29	10	24
30	11	24
31	11	24
32	11	23
33	11	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	15	20
43	15	20
44	16	19
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	17
54	20	16
55	20	16
56	21	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	8
78	28	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
