post_no,type,writer,body,time
926901171,body,Kitchen B1,"[COURSE1]
투움바파스타, 미니함박&데미소스,
오이피클, 탄산음료
956kcal(단백질:36g)Na함량:1270mg(염도:0.6%)
[COURSE2]
닭곰탕, 잡곡밥,
언양식불고기, 쥐어채볶음, 고들빼기무침
882kcal(단백질:44g)Na함량:1245mg(염도:0.6%)
[샐러드바]
그린샐러드, 과일푸딩, 매작과,
현미밥/백미밥,포기김치/깍두기",2023년 5월 3일 오전 11:18
926901171,comment,Kitchen B1,"중식1코너 품절되었습니다.
추가찬 고구마샐러드 제공드립니다.",2023년 5월 3일
926901171,comment,Kitchen B1,중식1코너 재개하였습니다.,2023년 5월 3일
926901171,comment,권기호,2코너 먹었었는데요~ 사진과 실물이랑 너무 다르더라구요~ 어느정도 일치 했으면 좋겠습니다~,2023년 5월 3일
926901171,comment,권기호,,5월 3일 오후 1:55
926901171,comment,Kitchen B1,"@권기호고객님 안녕하세요 직원식당 매니저 김도연 입니다. 
먼저 식당 이용에 불편을 드려 대단히 죄송합니다. 
향 후 배식전, 식당 근무자 1인량 교육을 통해
동일한 음식량을 제공할 수 있도록 노력하겠습니다.
이용에 불편을드려 다시 한번 사과 말씀드리며
행복한 오후 보내시기 바랍니다",5월 4일 오후 12:16
926901172,body,Kitchen B1,"[COURSE1]
육감쫄면, 우동국물,
후리가케밥(소), 갈비만두찜, 꼬들단무지
942kcal(단백질:58g)Na함량:1466mg(염도:0.5%)
[COURSE2]
차돌된장찌개, 잡곡밥, 한식잡채,
고구마순들깨나물, 청경채겉절이
631kcal(단백질:37g)Na함량:1429mg(염도:0.7%)
[샐러드바]
그린샐러드,코울슬로샐러드, 버터쿠키,
현미밥/백미밥,포기김치/석박지",2023년 5월 3일 오후 6:17
926901173,body,Kitchen B1,"[COURSE1]
<제철식재> 매실
매실청돈육불고기, 잡곡밥, 얼큰콩나물국, 느타리버섯채소볶음, 양념깻잎지
699kcal(단백질:30g)Na함량:1251mg(염도:0.6%)
[COURSE2]
<제철식재> 표고버섯
새우볶음밥&짜장소스, 계란파국, 표고돈육탕수육, 중국식오이무침
916kcal(단백질:41g)Na함량:1411mg(염도:0.5%)
[샐러드바]
그린샐러드,렌틸콩유자샐러드, 식혜,
현미밥/백미밥,배추겉절이/깍두기",2023년 5월 4일 오전 11:05
926901173,comment,Kitchen B1,중식2코너 새우볶음밥&자장소스는 품절되었습니다.,2023년 5월 4일
926901174,body,Kitchen B1,"[COURSE1]
경상도식소고기무국, 잡곡밥, 녹두빈대떡,
부들어묵볶음, 삼색겨자냉채
768kcal(단백질:39g)Na함량:1442mg(염도:0.6%)
[COURSE2]
스팸마요덮밥, 미역국,
순살닭강정&알새우칩, 블루베리무피클
986kcal(단백질:55g)Na함량:1226mg(염도:0.6%)
[샐러드바]
그린샐러드, 방울토마토, 건빵튀김,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 4일 오후 6:22
926901176,body,Kitchen B1,"[COURSE1]
제육볶음&파채, 잡곡밥,콩나물국,
메추리알장조림, 양배추쌈&쌈장
743kcal(단백질:36g)Na함량:1306mg(염도:0.5%)
[COURSE2]
경양식치즈돈까스&구운채소, 흑미밥,
크림수프, 모닝빵&딸기잼, 오이피클
967kcal(단백질:22g)Na함량:1342mg(염도:0.5%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥, 포기김치/열무김치",2023년 5월 8일 오전 11:17
926901177,body,Kitchen B1,"[COURSE1]
우렁된장찌개, 잡곡밥,
채소계란말이, 연근조림, 브로콜리숙회
777kcal(단백질:34g)Na함량:1229mg(염도:0.7%)
[COURSE2]
장조림버터비빔밥, 맑은팽이장국,
청파래오징어까스*타르타르소스, 마늘쫑무침
913kcal(단백질:35g)Na함량:1383mg(염도:0.6%)
[샐러드바]
그린샐러드,마카로니콘샐러드, 살구주스,
현미밥/백미밥,포기김치/석박지",2023년 5월 8일 오후 6:16
926901177,comment,무명1,버터장조림에서 버터인가요 마가린인가요?,2023년 5월 8일
926901177,comment,Kitchen B1,@무명1 답변이 늦어 죄송합니다. 장조림 비빔밥에는 버터로 제공됩니다!,5월 9일 오후 1:17
926901178,body,Kitchen B1,"[COURSE1]
우육탕면, 쌀밥(소), 꿔바로우, 짜사이무침
920kcal(단백질:50g)Na함량:1419mg(염도:0.7%)
[COURSE2]
훈제오리볶음&양파구이, 잡곡밥,
얼갈이된장국, 바싹김치전, 무쌈*머스타드소스
837kcal(단백질:31g)Na함량:1252mg(염도:0.6%)
[샐러드바]
그린샐러드, 오렌지, 감식초,
현미밥/백미밥,포기김치/깍두기",2023년 5월 9일 오전 11:12
926901178,comment,Kitchen B1,중식1코너 우육탕면 품절되었습니다.,2023년 5월 9일
926901179,body,Kitchen B1,"[COURSE1]
얼큰순대국밥, 잡곡밥,
동그랑땡조림, 알감자조림, 풋고추양파된장무침
902kcal(단백질:35g)Na함량:1375mg(염도:0.7%)
[COURSE2]
지파이버거, 감자튀김&케첩,
옥수수코울슬로, 탄산음료
952kcal(단백질:27g)Na함량:1360mg
[샐러드바]
그린샐러드,바나나칩샐러드, 참깨크래커,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 9일 오후 6:08
926901179,comment,Kitchen B1,1코너 순대국밥 품절되었습니다,2023년 5월 9일
