high_cat,med_cat,total,soldout,ratio
total,total,372,124,0.3333333333333333
개장,total,8,2,0.25
개장,,8,2,0.25
구이,total,13,5,0.38461538461538464
구이,,13,5,0.38461538461538464
국,total,15,1,0.06666666666666667
국,해장,6,0,0.0
국,,9,1,0.1111111111111111
국수,total,11,2,0.18181818181818182
국수,비빔,4,1,0.25
국수,잔치,1,0,0.0
국수,칼,6,1,0.16666666666666666
나시고랭,total,3,1,0.3333333333333333
나시고랭,,3,1,0.3333333333333333
돈부리,total,6,2,0.3333333333333333
돈부리,,6,2,0.3333333333333333
동,total,3,0,0.0
동,,3,0,0.0
두루치기,total,7,2,0.2857142857142857
두루치기,,7,2,0.2857142857142857
리조또,total,3,1,0.3333333333333333
리조또,,3,1,0.3333333333333333
면,total,3,2,0.6666666666666666
면,쫄,1,1,1.0
면,탄탄,1,1,1.0
면,탕,1,0,0.0
밥,total,124,50,0.4032258064516129
밥,국,14,2,0.14285714285714285
밥,덮,37,9,0.24324324324324326
밥,볶음,30,17,0.5666666666666667
밥,비빔,17,10,0.5882352941176471
밥,영양,9,4,0.4444444444444444
밥,하이,5,1,0.2
밥,,12,7,0.5833333333333334
버거,total,4,3,0.75
버거,,4,3,0.75
볶음,total,20,4,0.2
볶음,,20,4,0.2
볶이,total,11,4,0.36363636363636365
볶이,,11,4,0.36363636363636365
불백,total,4,3,0.75
불백,,4,3,0.75
소바,total,3,1,0.3333333333333333
소바,야끼,3,1,0.3333333333333333
수제비,total,1,0,0.0
수제비,,1,0,0.0
스테이크,total,2,0,0.0
스테이크,함박,2,0,0.0
우동,total,11,5,0.45454545454545453
우동,볶음,1,0,0.0
우동,야끼,1,0,0.0
우동,쫄,3,2,0.6666666666666666
우동,,6,3,0.5
전골,total,5,0,0.0
전골,,5,0,0.0
조림,total,7,2,0.2857142857142857
조림,,7,2,0.2857142857142857
짬뽕,total,1,1,1.0
짬뽕,,1,1,1.0
찌개,total,15,2,0.13333333333333333
찌개,짜글이,1,1,1.0
찌개,,14,1,0.07142857142857142
찜,total,4,3,0.75
찜,,4,3,0.75
칼제비,total,1,1,1.0
칼제비,,1,1,1.0
퀘사디아,total,3,2,0.6666666666666666
퀘사디아,,3,2,0.6666666666666666
탕,total,35,12,0.34285714285714286
탕,곰,5,1,0.2
탕,볶음,3,2,0.6666666666666666
탕,설렁,1,0,0.0
탕,,26,9,0.34615384615384615
파스타,total,6,1,0.16666666666666666
파스타,,6,1,0.16666666666666666
팟카파오무쌉,total,6,1,0.16666666666666666
팟카파오무쌉,,6,1,0.16666666666666666
필라프,total,3,1,0.3333333333333333
필라프,,3,1,0.3333333333333333
핫도그,total,6,0,0.0
핫도그,,6,0,0.0
,total,28,10,0.35714285714285715
,,28,10,0.35714285714285715
