post_no,day,day_of_week,meal_time,course_no,course,course_kcal,course_protein,course_na,soldout,soldout_time,is_soldout,first_menu_unpreproc,first_menu,menu_no,sim_menu,only_menu_2,only_menu_2_soldout,soldout_ratio,course_no_c,sim_menu_c,only_menu_2_c,only_menu_2_soldout_c,soldout_ratio_c
926901221,2023-06-01,Thursday,dinner,[1],"뼈없는닭갈비,잡곡밥,미역국,콩자반,무쌈&깻잎,모듬채소스틱&쌈장",726,28,1193.0,[1],,True,뼈없는닭갈비,닭갈비,2,5,5,3,0.6,[2],0,0,0,
926901221,2023-06-01,Thursday,dinner,[2],"불고기핫도그&감자*양파링튀김,마카로니콘치즈구이,오이피클,탄산음료",905,20,1350.0,,,False,불고기핫도그,불고기핫도그,2,0,0,0,,[1],5,5,3,0.6
926901226,2023-06-05,Monday,dinner,[1],"교자만두칼국수,미니열무보리비빔밥,녹두전*초간장,고추지무침",931,42,1211.0,,,False,교자만두칼국수,교자만두칼국수,2,2,2,1,,[2],8,7,3,0.42857142857142855
926901226,2023-06-05,Monday,dinner,[2],"돈육고추장볶음&파채,잡곡밥,아욱된장국,가지양념구이,치커리유자청무침",734,35,1347.0,,,False,돈육고추장볶음,돈육고추장볶음,2,8,7,3,0.42857142857142855,[1],2,2,1,
926901228,2023-06-07,Wednesday,dinner,[1],"취나물영양밥&부추양념장,청국장찌개,고등어반마리구이,파래김구이,오이깍둑무침",733,30,1373.0,,,False,취나물영양밥,취나물영양밥,2,3,3,0,0.0,[2],3,3,1,0.3333333333333333
926901228,2023-06-07,Wednesday,dinner,[2],"핫도그떡볶이,맑은유부국,참치마요덮밥,모듬튀김,한입단무지",923,38,1234.0,,,False,핫도그떡볶이,핫도그떡볶이,2,3,3,1,0.3333333333333333,[1],3,3,0,0.0
926901230,2023-06-08,Thursday,dinner,[1],"황태해장국,잡곡밥,매콤모듬장조림,고구마순들깨나물,브로콜리숙회&초고추장",723,39,1232.0,,,False,황태해장국,황태해장국,2,4,4,0,0.0,[2],7,7,2,0.2857142857142857
926901230,2023-06-08,Thursday,dinner,[2],"소고기할라피뇨볶음밥&계란프라이,미소시루,볼새우카츠&타르타르소스,우엉파프리카볶음",919,36,1158.0,[2],,True,소고기할라피뇨볶음밥,소고기할라피뇨볶음밥,2,7,7,2,0.2857142857142857,[1],4,4,0,0.0
926901235,2023-06-12,Monday,dinner,[1],"전주식콩나물국밥,잡곡밥,언양식불고기,감자채볶음,청경채겉절이",803,34,1167.0,,,False,전주식콩나물국밥,전주식콩나물국밥,2,12,10,1,0.1,[2],5,4,0,0.0
926901235,2023-06-12,Monday,dinner,[2],"장조림버터비빔밥,우동국물,통살새우까스&사우전S,마늘쫑무침",953,38,1351.0,,,False,장조림버터비빔밥,장조림버터비빔밥,2,5,4,0,0.0,[1],12,10,1,0.1
926901238,2023-06-13,Tuesday,dinner,[1],"명란크림파스타,콤비네이션피자,오이피클할라피뇨,탄산음료",950,34,1167.0,,,False,명란크림파스타,명란크림파스타,2,6,6,2,0.3333333333333333,[2],5,5,2,0.4
926901238,2023-06-13,Tuesday,dinner,[2],"뼈없는감자탕,잡곡밥,식물성런천미트*케첩,맛살브로콜리볶음,양파풋고추된장무침",957,38,1351.0,,,False,뼈없는감자탕,감자탕,2,5,5,2,0.4,[1],6,6,2,0.3333333333333333
926901240,2023-06-14,Wednesday,dinner,[1],"훈제오리볶음&양파구이,잡곡밥,아욱된장국,바싹김치전,무쌈&머스타드소스",857,30,1373.0,,,False,훈제오리볶음,훈제오리볶음,2,2,2,0,,[2],3,3,1,0.3333333333333333
926901240,2023-06-14,Wednesday,dinner,[2],"가츠동돈부리,어묵국,방울토마토보코치니치즈&발사믹D,단무지무침",941,38,1234.0,,,False,가츠동돈부리,가츠동돈부리,2,3,3,1,0.3333333333333333,[1],2,2,0,
926901242,2023-06-15,Thursday,dinner,[1],"철판백순대볶음&양념장,잡곡밥,미역국,미니새송이버섯간장조림,겨자채무침",902,23,1387.0,,,False,철판백순대볶음,철판백순대볶음,2,3,2,0,,[2],8,8,3,0.375
926901242,2023-06-15,Thursday,dinner,[2],"소고기우엉볶음밥,콩가루배추된장국,크리미어니언피쉬커틀릿,적채양배추절임",942,36,1238.0,,,False,소고기우엉볶음밥,소고기우엉볶음밥,2,8,8,3,0.375,[1],3,2,0,
926901247,2023-06-19,Monday,dinner,[1],"콩비지찌개,잡곡밥,계란말이,쥐어채땅콩볶음,참나물겉절이",882,63,1339.0,,,False,콩비지찌개,콩비지찌개,2,6,5,2,0.4,[2],4,4,2,0.5
926901247,2023-06-19,Monday,dinner,[2],"하이라이스&코코넛치즈돈까스,유부된장국,고구마샐러드,락교무침",968,36,1319.0,,,False,하이라이스,하이라이스,2,4,4,2,0.5,[1],6,5,2,0.4
926901249,2023-06-20,Tuesday,dinner,[1],"매실청돈육불고기,잡곡밥,콩나물국호박깻잎채전,도토리묵무침,양배추쌈&쌈장",881,36,1227.0,,,False,매실청돈육불고기,매실청돈육불고기,2,12,12,3,0.25,[2],2,2,0,
926901249,2023-06-20,Tuesday,dinner,[2],"삼색야끼도리덮밥,무채국,네기타코야끼,미니새송이파프리카볶음",934,57,1271.0,[2],,True,삼색야끼도리덮밥,삼색야끼도리덮밥,2,2,2,0,,[1],12,12,3,0.25
926901251,2023-06-21,Wednesday,dinner,[1],"떡만두국,잡곡밥,어니언떡갈비구이,열무나물,오이양파무침",891,27,1273.0,,,False,떡만두국,떡만두국,2,7,5,1,0.2,[2],4,3,1,0.3333333333333333
926901251,2023-06-21,Wednesday,dinner,[2],"차돌깍두기볶음밥&계란프라이,맑은팽이버섯국,궁중떡볶이,치커리유자청무침",896,35,1227.0,[2],,True,차돌깍두기볶음밥,차돌깍두기볶음밥,2,4,3,1,0.3333333333333333,[1],7,5,1,0.2
