menu,menu_comp,etc,high_cat,med_cat,ingredient
투움바파스타,"['투움바', '파스타']",[],파스타,,['투움바']
닭곰탕,"['닭', '곰', '탕']",[],탕,곰,['닭']
육감쫄면,"['육감', '쫄', '면']",['육감'],면,쫄,
차돌된장찌개,"['차돌', '된장', '찌개']",[],찌개,,"['된장', '차돌']"
매실청돈육불고기,"['매실청', '돼지', '불고기']",[],,,"['불고기', '돼지', '매실청']"
표고버섯새우볶음밥,"['버섯', '버섯', '새우', '볶음', '밥']",[],밥,볶음,"['버섯', '새우']"
경상도식소고기무국,"['경상도', '식', '소', '무', '국']","['경상도', '식']",국,,"['소', '무']"
스팸마요덮밥,"['햄', '마요', '덮', '밥']",[],밥,덮,"['햄', '마요']"
제육볶음,"['제육', '볶음']",[],볶음,,['제육']
경양식치즈돈까스,"['경양식', '치즈', '돼지', '까스']",['경양식'],까스,,"['치즈', '돼지']"
우렁된장찌개,"['우렁', '된장', '찌개']",[],찌개,,"['된장', '우렁']"
장조림버터비빔밥,"['장조림', '버터', '비빔', '밥']",[],밥,비빔,"['장조림', '버터']"
우육탕면,"['소', '탕', '면']",[],면,탕,['소']
훈제오리볶음,"['훈제', '오리', '볶음']",['훈제'],볶음,,['오리']
얼큰순대국밥,"['얼큰', '순대', '국', '밥']",['얼큰'],밥,국,['순대']
지파이버거,"['지파이', '버거']",[],버거,,['지파이']
뚝배기소불고기,"['뚝배기', '소', '불고기']",['뚝배기'],,,"['불고기', '소']"
잠발라야볶음밥,"['잠발라야', '볶음', '밥']",[],밥,볶음,['잠발라야']
황태미역국,"['황태', '미역', '국']",[],국,,"['황태', '미역']"
가쓰오해물나시고랭,"['가쓰오', '해물', '나시고랭']",[],나시고랭,,"['가쓰오', '해물']"
닭볶음탕,"['닭', '볶음', '탕']",[],탕,볶음,['닭']
명란마요규동,"['명란', '마요', '소', '동']",[],동,,"['소', '명란', '마요']"
잔치국수,"['잔치', '국수']",[],국수,잔치,
고갈비구이,"['고등어', '구이']",[],구이,,['고등어']
치즈김치돌솥비빔밥,"['치즈', '김치', '돌솥', '비빔', '밥']",['돌솥'],밥,비빔,"['치즈', '김치']"
고추장삼겹살구이,"['고추장', '삼겹', '구이']",[],구이,,"['삼겹', '고추장']"
일식커리 라이스,"['일식', '카레', '밥']",['일식'],밥,,['카레']
참치김치찌개,"['참치', '김치', '찌개']",[],찌개,,"['참치', '김치']"
소불고기달걀덮밥,"['소', '불고기', '계란', '덮', '밥']",[],밥,덮,"['불고기', '소', '계란']"
비빔막국수,"['비빔', '막', '국수']",['비빔'],국수,막,
소불고기솥밥,"['소', '불고기', '돌솥', '밥']",[],밥,돌솥,"['불고기', '소']"
분짜,['분짜'],[],분짜,,
매콤닭불고기,"['매콤', '닭', '불고기']",['매콤'],,,"['불고기', '닭']"
불고기퀘사디아,"['불고기', '퀘사디아']",[],퀘사디아,,['불고기']
돈목살김치찜,"['돼지', '김치', '찜']",[],찜,,"['돼지', '김치']"
식물성미트라구소스파스타,"['식물성', '미트', '라구', '소스', '파스타']","['식물성', '소스']",파스타,,"['미트', '라구']"
열무김치보리비빔밥,"['열무', '김치', '보리', '비빔', '밥']",[],밥,비빔,"['열무', '보리', '김치']"
전주콩나물국밥,"['전주', '콩나물', '국', '밥']",['전주'],밥,국,['콩나물']
시래기두루치기덮밥,"['시래기', '두루치기', '덮', '밥']",[],밥,덮,"['시래기', '두루치기']"
닭개장,"['닭', '개장']",[],개장,,['닭']
베이컨갈릭볶음밥,"['베이컨', '마늘', '볶음', '밥']",[],밥,볶음,"['마늘', '베이컨']"
왕만두떡국,"['왕만두', '떡', '국']",[],국,,"['떡', '왕만두']"
치즈부대전골,"['치즈', '부대', '전골']",[],전골,,"['치즈', '부대']"
고구마무스돈까스,"['고구마', '무스', '돼지', '까스']",['무스'],까스,,"['돼지', '고구마']"
소고기샤브전골,"['소', '샤브', '전골']",[],전골,,"['샤브', '소']"
오징어볶음덮밥,"['오징어', '볶음', '덮', '밥']",[],밥,덮,"['오징어', '볶음']"
나가사키짬뽕,"['나가사키', '짬뽕']",['나가사키'],짬뽕,,
반반불고기,"['반반', '불고기']",['반반'],,,['불고기']
닭보쌈,"['닭', '보쌈']",[],보쌈,,['닭']
돈목살김치필라프,"['돼지', '김치', '필라프']",[],필라프,,"['돼지', '김치']"
소고기미역국,"['소', '미역', '국']",[],국,,"['소', '미역']"
중화풍버섯잡채덮밥,"['중화풍', '버섯', '잡채', '덮', '밥']",['중화풍'],밥,덮,"['버섯', '잡채']"
모듬어묵전골,"['모듬', '어묵', '전골']",['모듬'],전골,,['어묵']
산채들기름비빔밥,"['나물', '들기름', '비빔', '밥']",[],밥,비빔,"['나물', '들기름']"
통삼겹스테이크,"['통', '삼겹', '스테이크']",['통'],스테이크,,['삼겹']
