post_no,type,writer,body,time,day,hour,day_of_week,course1,course1_kcal,course1_protein,course1_na,course2,course2_kcal,course2_protein,course2_na
926901171,body,Kitchen B1,"[COURSE1]투움바파스타,미니함박&데미소스,오이피클,탄산음료956kcal(단백질:36g)Na함량:1270mg(염도:0.6%)[COURSE2]닭곰탕,잡곡밥,언양식불고기,쥐어채볶음,고들빼기무침882kcal(단백질:44g)Na함량:1245mg(염도:0.6%)[샐러드바]그린샐러드,과일푸딩,매작과,현미밥/백미밥,포기김치/깍두기",2023-05-03 11:18:00,2023-05-03,11:18,Wednesday,"투움바파스타,미니함박&데미소스,오이피클,탄산음료",956,36,1270.0,"닭곰탕,잡곡밥,언양식불고기,쥐어채볶음,고들빼기무침",882.0,44.0,1245.0
926901172,body,Kitchen B1,"[COURSE1]육감쫄면,우동국물,후리가케밥(소),갈비만두찜,꼬들단무지942kcal(단백질:58g)Na함량:1466mg(염도:0.5%)[COURSE2]차돌된장찌개,잡곡밥,한식잡채,고구마순들깨나물,청경채겉절이631kcal(단백질:37g)Na함량:1429mg(염도:0.7%)[샐러드바]그린샐러드,코울슬로샐러드,버터쿠키,현미밥/백미밥,포기김치/석박지",2023-05-03 18:17:00,2023-05-03,18:17,Wednesday,"육감쫄면,우동국물,후리가케밥(소),갈비만두찜,꼬들단무지",942,58,1466.0,"차돌된장찌개,잡곡밥,한식잡채,고구마순들깨나물,청경채겉절이",631.0,37.0,1429.0
926901173,body,Kitchen B1,"[COURSE1]<제철식재>매실매실청돈육불고기,잡곡밥,얼큰콩나물국,느타리버섯채소볶음,양념깻잎지699kcal(단백질:30g)Na함량:1251mg(염도:0.6%)[COURSE2]<제철식재>표고버섯새우볶음밥&짜장소스,계란파국,표고돈육탕수육,중국식오이무침916kcal(단백질:41g)Na함량:1411mg(염도:0.5%)[샐러드바]그린샐러드,렌틸콩유자샐러드,식혜,현미밥/백미밥,배추겉절이/깍두기",2023-05-04 11:05:00,2023-05-04,11:05,Thursday,"<제철식재>매실매실청돈육불고기,잡곡밥,얼큰콩나물국,느타리버섯채소볶음,양념깻잎지",699,30,1251.0,"<제철식재>표고버섯새우볶음밥&짜장소스,계란파국,표고돈육탕수육,중국식오이무침",916.0,41.0,1411.0
926901174,body,Kitchen B1,"[COURSE1]경상도식소고기무국,잡곡밥,녹두빈대떡,부들어묵볶음,삼색겨자냉채768kcal(단백질:39g)Na함량:1442mg(염도:0.6%)[COURSE2]스팸마요덮밥,미역국,순살닭강정&알새우칩,블루베리무피클986kcal(단백질:55g)Na함량:1226mg(염도:0.6%)[샐러드바]그린샐러드,방울토마토,건빵튀김,현미밥/백미밥,포기김치/깍두기",2023-05-04 18:22:00,2023-05-04,18:22,Thursday,"경상도식소고기무국,잡곡밥,녹두빈대떡,부들어묵볶음,삼색겨자냉채",768,39,1442.0,"스팸마요덮밥,미역국,순살닭강정&알새우칩,블루베리무피클",986.0,55.0,1226.0
926901176,body,Kitchen B1,"[COURSE1]제육볶음&파채,잡곡밥,콩나물국,메추리알장조림,양배추쌈&쌈장743kcal(단백질:36g)Na함량:1306mg(염도:0.5%)[COURSE2]경양식치즈돈까스&구운채소,흑미밥,크림수프,모닝빵&딸기잼,오이피클967kcal(단백질:22g)Na함량:1342mg(염도:0.5%)[샐러드바]그린샐러드,요거트,토핑3종,현미밥/백미밥,포기김치/열무김치",2023-05-08 11:17:00,2023-05-08,11:17,Monday,"제육볶음&파채,잡곡밥,콩나물국,메추리알장조림,양배추쌈&쌈장",743,36,1306.0,"경양식치즈돈까스&구운채소,흑미밥,크림수프,모닝빵&딸기잼,오이피클",967.0,22.0,1342.0
926901177,body,Kitchen B1,"[COURSE1]우렁된장찌개,잡곡밥,채소계란말이,연근조림,브로콜리숙회777kcal(단백질:34g)Na함량:1229mg(염도:0.7%)[COURSE2]장조림버터비빔밥,맑은팽이장국,청파래오징어까스*타르타르소스,마늘쫑무침913kcal(단백질:35g)Na함량:1383mg(염도:0.6%)[샐러드바]그린샐러드,마카로니콘샐러드,살구주스,현미밥/백미밥,포기김치/석박지",2023-05-08 18:16:00,2023-05-08,18:16,Monday,"우렁된장찌개,잡곡밥,채소계란말이,연근조림,브로콜리숙회",777,34,1229.0,"장조림버터비빔밥,맑은팽이장국,청파래오징어까스*타르타르소스,마늘쫑무침",913.0,35.0,1383.0
926901178,body,Kitchen B1,"[COURSE1]우육탕면,쌀밥(소),꿔바로우,짜사이무침920kcal(단백질:50g)Na함량:1419mg(염도:0.7%)[COURSE2]훈제오리볶음&양파구이,잡곡밥,얼갈이된장국,바싹김치전,무쌈*머스타드소스837kcal(단백질:31g)Na함량:1252mg(염도:0.6%)[샐러드바]그린샐러드,오렌지,감식초,현미밥/백미밥,포기김치/깍두기",2023-05-09 11:12:00,2023-05-09,11:12,Tuesday,"우육탕면,쌀밥(소),꿔바로우,짜사이무침",920,50,1419.0,"훈제오리볶음&양파구이,잡곡밥,얼갈이된장국,바싹김치전,무쌈*머스타드소스",837.0,31.0,1252.0
926901179,body,Kitchen B1,"[COURSE1]얼큰순대국밥,잡곡밥,동그랑땡조림,알감자조림,풋고추양파된장무침902kcal(단백질:35g)Na함량:1375mg(염도:0.7%)[COURSE2]지파이버거,감자튀김&케첩,옥수수코울슬로,탄산음료952kcal(단백질:27g)Na함량:1360mg[샐러드바]그린샐러드,바나나칩샐러드,참깨크래커,현미밥/백미밥,포기김치/깍두기",2023-05-09 18:08:00,2023-05-09,18:08,Tuesday,"얼큰순대국밥,잡곡밥,동그랑땡조림,알감자조림,풋고추양파된장무침",902,35,1375.0,"지파이버거,감자튀김&케첩,옥수수코울슬로,탄산음료",952.0,27.0,1360.0
926901180,body,Kitchen B1,"[COURSE1]뚝배기소불고기,잡곡밥,두부양념조림,가지나물,부추겉절이724kcal(단백질:30g)Na함량:1105mg(염도:0.6%)[COURSE2]잠발라야볶음밥&계란프라이,우동국물,카레크로켓&어니언링,알마늘지무침895kcal(단백질:46g)Na함량:1399mg(염도:0.5%)[샐러드바]그린샐러드,실곤약샐러드,알새우칩,현미밥/백미밥,배추겉절이/깍두기",2023-05-10 11:10:00,2023-05-10,11:10,Wednesday,"뚝배기소불고기,잡곡밥,두부양념조림,가지나물,부추겉절이",724,30,1105.0,"잠발라야볶음밥&계란프라이,우동국물,카레크로켓&어니언링,알마늘지무침",895.0,46.0,1399.0
926901181,body,Kitchen B1,"[COURSE1]황태미역국,잡곡밥,너비아니구이,방풍나물,고추지무침744kcal(단백질:28g)Na함량:1315mg(염도:0.6%)[COURSE2]가쓰오해물나시고랭,미소장국.춘권튀김,양파피클868kcal(단백질:32g)Na함량:1489mg(염도:0.5%)[샐러드바]그린샐러드,요거트,토핑3종,현미밥/백미밥,포기김치/깍두기",2023-05-10 18:04:00,2023-05-10,18:04,Wednesday,"황태미역국,잡곡밥,너비아니구이,방풍나물,고추지무침",744,28,1315.0,"가쓰오해물나시고랭,미소장국.춘권튀김,양파피클",868.0,32.0,1489.0
