post_no,day,day_of_week,meal_time,course_no,course,course_kcal,course_protein,course_na,soldout,soldout_time,is_soldout
926901171,2023-05-03,Wednesday,lunch,[1],"투움바파스타,미니함박&데미소스,오이피클,탄산음료",956,36,1270.0,[1],NaN,True
926901171,2023-05-03,Wednesday,lunch,[2],"닭곰탕,잡곡밥,언양식불고기,쥐어채볶음,고들빼기무침",882,44,1245.0,NaN,NaN,False
926901172,2023-05-03,Wednesday,dinner,[1],"육감쫄면,우동국물,후리가케밥(소),갈비만두찜,꼬들단무지",942,58,1466.0,NaN,NaN,False
926901172,2023-05-03,Wednesday,dinner,[2],"차돌된장찌개,잡곡밥,한식잡채,고구마순들깨나물,청경채겉절이",631,37,1429.0,NaN,NaN,False
926901173,2023-05-04,Thursday,lunch,[1],"<제철식재>매실매실청돈육불고기,잡곡밥,얼큰콩나물국,느타리버섯채소볶음,양념깻잎지",699,30,1251.0,NaN,NaN,False
926901173,2023-05-04,Thursday,lunch,[2],"<제철식재>표고버섯새우볶음밥&짜장소스,계란파국,표고돈육탕수육,중국식오이무침",916,41,1411.0,[2],NaN,True
926901174,2023-05-04,Thursday,dinner,[1],"경상도식소고기무국,잡곡밥,녹두빈대떡,부들어묵볶음,삼색겨자냉채",768,39,1442.0,NaN,NaN,False
926901174,2023-05-04,Thursday,dinner,[2],"스팸마요덮밥,미역국,순살닭강정&알새우칩,블루베리무피클",986,55,1226.0,NaN,NaN,False
926901176,2023-05-08,Monday,lunch,[1],"제육볶음&파채,잡곡밥,콩나물국,메추리알장조림,양배추쌈&쌈장",743,36,1306.0,NaN,NaN,False
926901176,2023-05-08,Monday,lunch,[2],"경양식치즈돈까스&구운채소,흑미밥,크림수프,모닝빵&딸기잼,오이피클",967,22,1342.0,NaN,NaN,False
926901177,2023-05-08,Monday,dinner,[1],"우렁된장찌개,잡곡밥,채소계란말이,연근조림,브로콜리숙회",777,34,1229.0,NaN,NaN,False
926901177,2023-05-08,Monday,dinner,[2],"장조림버터비빔밥,맑은팽이장국,청파래오징어까스*타르타르소스,마늘쫑무침",913,35,1383.0,NaN,NaN,False
926901178,2023-05-09,Tuesday,lunch,[1],"우육탕면,쌀밥(소),꿔바로우,짜사이무침",920,50,1419.0,[1],NaN,True
926901178,2023-05-09,Tuesday,lunch,[2],"훈제오리볶음&양파구이,잡곡밥,얼갈이된장국,바싹김치전,무쌈*머스타드소스",837,31,1252.0,NaN,NaN,False
926901179,2023-05-09,Tuesday,dinner,[1],"얼큰순대국밥,잡곡밥,동그랑땡조림,알감자조림,풋고추양파된장무침",902,35,1375.0,[1],NaN,True
926901179,2023-05-09,Tuesday,dinner,[2],"지파이버거,감자튀김&케첩,옥수수코울슬로,탄산음료",952,27,1360.0,NaN,NaN,False
926901180,2023-05-10,Wednesday,lunch,[1],"뚝배기소불고기,잡곡밥,두부양념조림,가지나물,부추겉절이",724,30,1105.0,NaN,NaN,False
926901180,2023-05-10,Wednesday,lunch,[2],"잠발라야볶음밥&계란프라이,우동국물,카레크로켓&어니언링,알마늘지무침",895,46,1399.0,NaN,NaN,False
926901181,2023-05-10,Wednesday,dinner,[1],"황태미역국,잡곡밥,너비아니구이,방풍나물,고추지무침",744,28,1315.0,NaN,NaN,False
926901181,2023-05-10,Wednesday,dinner,[2],"가쓰오해물나시고랭,미소장국.춘권튀김,양파피클",868,32,1489.0,[2],NaN,True
926901183,2023-05-11,Thursday,dinner,[1],"닭볶음탕,잡곡밥,호박새우젓국,맛살채소볶음,반반콩자반",884,50,1429.0,NaN,NaN,False
926901183,2023-05-11,Thursday,dinner,[2],"명란마요규동,어묵국,세사미두부카츠,궁채절임",869,35,1300.0,NaN,NaN,False
926901184,2023-05-12,Friday,lunch,[1],"잔치국수,유부초밥,납작지짐만두&비빔야채,치자단무지",876,33,1477.0,[1],NaN,True
926901184,2023-05-12,Friday,lunch,[2],"고갈비구이,잡곡밥,콩가루배추국,미역줄기볶음,오이깍뚝무침",756,23,1360.0,NaN,NaN,False
926901185,2023-05-12,Friday,dinner,[1],"치즈김치돌솥비빔밥,무채국,해물부추전,견과멸치볶음",890,53,1268.0,NaN,NaN,False
926901187,2023-05-15,Monday,lunch,[1],"고추장삼겹살구이&구운양파,잡곡밥,시래기된장국,부들어묵볶음,상추쌈&쌈장",844,37,1336.0,NaN,NaN,False
926901187,2023-05-15,Monday,lunch,[2],"일식커리&멘치까스,강황밥,우동국물,아게다시도후,락교*초생강",976,38,1312.0,NaN,NaN,False
926901188,2023-05-15,Monday,dinner,[1],"참치김치찌개,잡곡밥,도톰동그랑땡전,느타리버섯볶음,시금치나물",732,32,1401.0,[1],NaN,True
926901188,2023-05-15,Monday,dinner,[2],"소불고기달걀덮밥,맑은유부국,고구마고로케&케첩,우엉파프리카볶음",932,51,1268.0,NaN,NaN,False
926901189,2023-05-16,Tuesday,lunch,[1],"비빔막국수,사골파국,쌀밥(소),미니수육,보쌈무김치",753,55,1488.0,NaN,NaN,False
926901189,2023-05-16,Tuesday,lunch,[2],"소불고기솥밥*양념장,된장찌개.고등어반마리구이,감자채볶음,모듬채소겉절이",750,46,1345.0,[2],NaN,True
926901193,2023-05-17,Wednesday,lunch,[1],"분짜플레터(간장불고기*쌀국수*짜조)&느억맘소스,쌀국수국물,파인애플볶음밥,양파피클",954,29,1164.0,[1],NaN,True
926901193,2023-05-17,Wednesday,lunch,[2],"매콤닭불고기,잡곡밥,몽글몽글순두부탕,명엽채볶음,고들빼기무침",894,54,1332.0,NaN,NaN,False
926901194,2023-05-17,Wednesday,dinner,[1],"불고기퀘사디아&양념감자튀김*사워크림/살사소스,마늘밥,양배추적채피클,탄산음료",973,23,1179.0,NaN,NaN,False
926901194,2023-05-17,Wednesday,dinner,[2],"돈목살김치찜,쌀밥&계란프라이,근대된장국,건파래자반,호박새우젓볶음",755,30,1489.0,NaN,NaN,False
926901195,2023-05-18,Thursday,lunch,[1],"<헬시데이>식물성미트라구소스파스타,양송이수프,두부텐더샐러드,오이피클,레몬콤부차",715,20,1295.0,NaN,NaN,False
926901195,2023-05-18,Thursday,lunch,[2],"열무김치보리비빔밥&계란프라이,청국장찌개,어니언떡갈비구이,맑은오이지무침,비빔고추장",943,38,1452.0,NaN,NaN,False
926901196,2023-05-18,Thursday,dinner,[1],"전주콩나물국밥,잡곡밥,두절가자미구이,탕평채,무말랭이무침",651,30,1280.0,NaN,NaN,False
926901196,2023-05-18,Thursday,dinner,[2],"시래기두루치기덮밥,계란파국,교자만두탕수,청경채나물",705,35,1412.0,[2],NaN,True
926901198,2023-05-19,Friday,lunch,[1],"닭개장,잡곡밥,단호박채전,두부쑥갓나물,깻잎지무침",709,20,1409.0,NaN,NaN,False
926901198,2023-05-19,Friday,lunch,[2],"베이컨갈릭볶음밥&어린잎,미소시루,새우튀김&칠리소스,블루베리무피클",839,26,1466.0,NaN,NaN,False
926901199,2023-05-19,Friday,dinner,[1],"왕만두떡국,쌀밥(소),오징어초무침,게맛살채소볶음,열무나물",921,38,1230.0,NaN,NaN,False
926901202,2023-05-22,Monday,lunch,[1],"치즈부대전골&라면사리,잡곡밥,계란찜,알감자조림,들깨무나물",969,41,1403.0,NaN,NaN,False
926901202,2023-05-22,Monday,lunch,[2],"고구마무스돈까스,흑임자밥&구운채소,크림수프,모닝빵&달걀샐러드,블루베리무피클",1003,36,1301.0,NaN,NaN,False
926901203,2023-05-22,Monday,dinner,[1],"소고기샤브전골&칼국수사리,잡곡밥,꽈리고추계란장조림,가지나물,마늘쫑무침",726,26,1412.0,NaN,NaN,False
926901203,2023-05-22,Monday,dinner,[2],"오징어볶음덮밥&깻잎상추채,수제비국,옛날소시지전&케첩,오이지무침",871,41,1394.0,NaN,NaN,False
926901204,2023-05-23,Tuesday,lunch,[1],"나가사키짬뽕,쌀밥(소),타코야끼,꼬들단무지",804,27,1447.0,NaN,NaN,False
926901204,2023-05-23,Tuesday,lunch,[2],"반반불고기,잡곡밥,유채된장국,바싹김치전,양배추쌈&쌈장",977,75,1311.0,NaN,NaN,False
926901205,2023-05-23,Tuesday,dinner,[1],"닭보쌈,잡곡밥,미니묵사발,얼갈이나물,삼색겨자채무침",643,32,1282.0,NaN,NaN,False
926901205,2023-05-23,Tuesday,dinner,[2],"돈목살김치필라프,유부장국,피쉬앤칩스,발사믹토마토",941,68,1330.0,NaN,NaN,False
926901207,2023-05-24,Wednesday,lunch,[1],"소고기미역국,잡곡밥,두부숙회*돈육볶음김치,미니새송이파프리카볶음,오이부추무침",950,50,1334.0,[1],NaN,True
926901207,2023-05-24,Wednesday,lunch,[2],"중화풍버섯잡채덮밥,계란파국,유린기,짜사이무침",949,35,1245.0,NaN,NaN,False
926901208,2023-05-24,Wednesday,dinner,[1],"모듬어묵전골,잡곡밥,단호박묵&어린잎,간장무채장아찌,풀무원조미김,와사비장",812,34,1162.0,NaN,NaN,False
926901208,2023-05-24,Wednesday,dinner,[2],"산채들기름비빔밥&약고추장,조랭이떡국,언양식불고기,우엉참깨무침",837,44,1326.0,NaN,NaN,False
926901209,2023-05-25,Thursday,lunch,"[1, 2]","<런치스페셜>통삼겹스테이크&구운채소,양념옥수수,미소장국,파인애플볶음밥,냉파스타샐러드,오이피클할라피뇨",1342,55,1235.0,NaN,NaN,False
926901211,2023-05-25,Thursday,dinner,[1],"소고기숙주볶음,잡곡밥,아욱된장국,해물부추전,청경채겉절이",764,29,1207.0,NaN,NaN,False
926901212,2023-05-26,Friday,lunch,[1],"누룽지봉추찜닭,잡곡밥,오이냉국,마늘쫑볶음,콩나물파채무침",899,62,1050.0,[1],NaN,True
926901212,2023-05-26,Friday,lunch,[2],"경양식오므라이스&함박,우동국물,바나나브륄레,적채무피클",838,27,1331.0,NaN,NaN,False
926901213,2023-05-26,Friday,dinner,[1],"콩비지찌개,잡곡밥,떡갈비조림,브로콜리마늘볶음,참나물무침",656,51,1221.0,NaN,NaN,False
926901215,2023-05-30,Tuesday,lunch,[1],"장터국밥,잡곡밥,감자채전,메추리알장조림,미역레몬초무침",805,36,1429.0,NaN,NaN,False
