post_no,type,writer,body,time,hour,soldout
926901171,comment,Kitchen B1,중식1코너품절되었습니다.추가찬고구마샐러드제공드립니다.,2023년 5월 3일,NaN,1.0
926901674,comment,kitchen B1,석식1코스품절되었습니다,2월 15일 PM 7:53,19:53,1.0
926901672,comment,kitchen B1,석식1코스나가사끼짬뽕품절되었습니다.,2월 14일 PM 7:44,19:44,1.0
926901669,comment,Kitchen B1,석식1코너매콤닭볶음탕은품절되었습니다.,2월 13일 PM 7:57,19:57,1.0
926901668,comment,Kitchen B1,중식1코스일식카레우동이품절되었습니다,2월 13일 PM 1:31,13:31,1.0
926900914,comment,원지연,1코너콩비지찌개품절되었습니다.,2022년 12월 20일,NaN,1.0
926901662,comment,Kitchen B1,중식1코스떡만두국품절되었습니다.,2월 7일 PM 1:48,13:48,1.0
926900913,comment,원지연,1코너소고기우육탕면품절되었습니다.,2022년 12월 20일,NaN,1.0
926901660,comment,Kitchen B1,석식1코너동태지리탕은품절되었습니다.,2월 6일 PM 7:56,19:56,1.0
926901657,comment,Kitchen B1,중식1코너토마토리조또는품절되었습니다.,2월 5일 PM 1:37,13:37,1.0
926900921,comment,Kitchen B1,1코너부대찌개품절되었습니다,2022년 12월 22일,NaN,1.0
926900930,comment,Kitchen B1,1코너짜장면품절되었습니다,2022년 12월 26일,NaN,1.0
926901651,comment,Kitchen B1,중식1코스차돌냉이된장찌개품절되었습니다.,2월 1일 PM 1:22,13:22,1.0
926901649,comment,kitchen B1,석식1코스불고기퀘사디아는품절되었습니다.,1월 31일 PM 7:57,19:57,1.0
926901647,comment,Kitchen B1,석식1코스품절되었습니다.,1월 30일 PM 7:49,19:49,1.0
926900917,comment,Kitchen B1,1코너베테랑칼국수품절되었습니다,2022년 12월 21일,NaN,1.0
926900933,comment,Kitchen B1,1코너경상도소고기무국품절되었습니다,2022년 12월 27일,NaN,1.0
926901678,comment,Kitchen B1,중식1코스유부쑥갓잔치국수품절되었습니다,2월 19일 PM 1:30,13:30,1.0
926901688,comment,kitchen B1,석식1코스쫄우동은품절되었습니다.,2월 22일 PM 7:50,19:50,1.0
926900886,comment,원지연,1코너돈코츠라멘품절되었습니다.,2022년 12월 6일,NaN,1.0
926901731,comment,Kitchen B1,중식1코스품절되었습니다.,3월 18일 PM 1:32,13:32,1.0
926901723,comment,Kitchen B1,중식1코스품절되었습니다,3월 14일 PM 1:40,13:40,1.0
926901721,comment,Kitchen B1,중식1코스베트남소고기쌀국수는품절되었습니다.,3월 13일 PM 1:33,13:33,1.0
926900890,comment,Kitchen B1,1코너파주닭칼국수품절되었습니다,2022년 12월 8일,NaN,1.0
